0	346
1	401
2	392
3	436
4	379
5	376
6	389
7	413
8	391
9	291
10	357
11	456
12	295
13	320
14	355
15	359
16	381
17	299
18	342
19	185
20	11
21	265
22	137
23	6
24	131
25	174
26	99
27	43
28	1
29	28
30	102
31	1
32	87
33	54
34	1
35	29
36	18
37	49
38	11
39	12
40	3
41	113
42	156
43	53
44	31
45	3
46	48
47	10
48	123
49	9
50	1
51	62
52	81
53	2
54	2
55	8
56	100
57	71
58	1
59	52
60	4
61	19
62	33
63	9
64	10
65	28
66	5
67	4
68	102
69	7
70	34
71	62
72	1
73	18
74	35
75	1
76	14
77	1
78	1
79	16
80	105
81	26
82	11
83	19
84	5
85	2
86	2
87	1
88	11
89	4
90	24
91	32
92	13
93	3
94	11
95	1
96	14
97	5
98	7
99	12
100	1
101	1
102	7
103	1
104	1
105	8
106	25
107	21
108	4
109	6
110	1
111	5
112	19
113	9
114	44
115	17
116	1
117	1
118	16
119	4
120	6
121	6
122	1
123	25
124	19
125	7
126	4
127	5
128	4
129	1
130	1
131	4
132	1
133	23
134	1
135	2
136	4
137	29
138	5
139	2
140	7
141	15
142	35
143	2
144	23
145	1
146	1
147	1
148	2
149	1
150	2
151	18
152	1
153	5
154	22
155	22
156	18
157	7
158	3
159	1
160	12
161	5
162	1
163	1
164	11
165	2
166	6
167	4
168	1
169	22
170	21
171	1
172	6
173	1
174	9
175	2
176	5
177	27
178	2
179	2
180	1
181	9
182	1
183	5
184	7
185	15
186	1
187	2
188	1
189	2
190	2
191	1
192	5
193	8
194	9
195	1
196	4
197	1
198	8
199	2
200	2
201	1
202	2
203	1
204	2
205	10
206	15
207	12
208	1
209	1
210	4
211	6
212	1
213	1
214	1
215	10
216	6
217	2
218	7
219	5
220	6
221	3
222	1
223	1
224	9
225	1
226	4
227	1
228	1
229	2
230	2
231	1
232	2
233	1
234	3
235	7
236	7
237	5
238	1
239	1
240	1
241	10
242	2
243	2
244	1
245	5
246	3
247	14
248	2
249	2
250	19
251	7
252	2
253	6
254	2
255	1
256	9
257	4
258	1
259	4
260	14
261	12
262	2
263	6
264	3
265	1
266	2
267	4
268	6
269	3
270	1
271	1
272	1
273	1
274	1
275	6
276	2
277	1
278	6
279	7
280	2
281	7
282	2
283	2
284	1
285	1
286	1
287	3
288	4
289	3
290	4
291	1
292	1
293	4
294	8
295	17
296	2
297	2
298	1
299	3
300	2
301	1
302	1
303	3
304	4
305	1
306	9
307	1
308	3
309	1
310	1
311	1
312	2
313	5
314	1
315	5
316	3
317	7
318	1
319	1
320	6
321	6
322	2
323	9
324	6
325	1
326	5
327	1
328	1
329	3
330	12
331	3
332	3
333	12
334	2
335	2
336	1
337	1
338	9
339	1
340	1
341	1
342	1
343	2
344	3
345	3
346	2
347	3
348	1
349	1
350	3
351	4
352	2
353	1
354	1
355	1
356	1
357	2
358	1
359	2
360	1
361	2
362	1
363	4
364	7
365	3
366	1
367	1
368	1
369	2
370	2
371	4
372	5
373	3
374	7
375	1
376	8
377	3
378	4
379	5
380	3
381	3
382	2
383	1
384	2
385	1
386	2
387	2
388	3
389	4
390	3
391	1
392	1
393	1
394	2
395	1
396	4
397	2
398	1
399	3
400	3
401	1
402	1
403	1
404	4
405	1
406	3
407	1
408	2
409	2
410	2
411	1
412	1
413	1
414	2
415	1
416	4
417	1
418	8
419	3
420	1
421	2
422	3
423	5
424	8
425	1
426	1
427	2
428	6
429	2
430	1
431	1
432	1
433	4
434	1
435	5
436	2
437	1
438	1
439	2
440	2
441	1
442	1
443	1
444	3
445	4
446	1
447	2
448	1
449	1
450	2
451	3
452	1
453	2
454	2
455	3
456	1
457	3
458	2
459	4
460	1
461	1
462	5
463	1
464	3
465	1
466	4
467	1
468	2
469	1
470	1
471	1
472	1
473	1
474	2
475	1
476	1
477	4
478	3
479	1
480	2
481	3
482	1
483	1
484	5
485	3
486	2
487	1
488	1
489	2
490	1
491	1
492	1
493	2
494	2
495	2
496	1
497	1
498	1
499	1
500	2
501	3
502	1
503	2
504	1
505	1
506	1
507	1
508	5
509	1
510	1
511	2
512	4
513	1
514	1
515	7
516	2
517	3
518	2
519	4
520	1
521	9
522	3
523	3
524	2
525	1
526	1
